Entidade;Número do Organograma;Descrição do organograma;Número da ação;Descrição da ação;Número do programa;Descrição do programa;Número da função;Descrição da função;Número da subfunção;Descrição da subfunção;Número da despesa;Natureza de Despesa;Descrição da natureza de despesa;Recurso;Descrição do recurso;Saldo atual da despesa
CAIXA DE PREVIDENCIA DOS SERVIDORES DE INAJA;20.001;PRVIDENCIA SOCIAL;2.021;PREVIDENCIA SOCIAL AOS SERVIDORES;3;ASSISTÊNCIA PREVIDENCIARIA;9;Previdência Social;272;Previdência do Regime Estatutário;1;3.1.90.01.00.00.00.00;APOSENTADORIAS DO RPPS, RESERVA REMUNERADA E REFOR;00040.00040.08.03.00.00.1.800.1111;REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL;1.673.529,22
CAIXA DE PREVIDENCIA DOS SERVIDORES DE INAJA;20.001;PRVIDENCIA SOCIAL;2.021;PREVIDENCIA SOCIAL AOS SERVIDORES;3;ASSISTÊNCIA PREVIDENCIARIA;9;Previdência Social;272;Previdência do Regime Estatutário;2;3.1.90.03.00.00.00.00;PENSÕES DO RPPS E DO MILITAR;00040.00040.08.03.00.00.1.800.1111;REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL;706.364,24
CAIXA DE PREVIDENCIA DOS SERVIDORES DE INAJA;20.001;PRVIDENCIA SOCIAL;2.021;PREVIDENCIA SOCIAL AOS SERVIDORES;3;ASSISTÊNCIA PREVIDENCIARIA;9;Previdência Social;272;Previdência do Regime Estatutário;3;3.1.90.11.00.00.00.00;VENCIMENTOS E VANTAGENS FIXAS-PESSOAL CIVIL;00001.00000.01.01.00.00.1.500.0000;RECURSOS DO TESOURO (DESCENTRALIZADOS);0,00
CAIXA DE PREVIDENCIA DOS SERVIDORES DE INAJA;20.001;PRVIDENCIA SOCIAL;2.021;PREVIDENCIA SOCIAL AOS SERVIDORES;3;ASSISTÊNCIA PREVIDENCIARIA;9;Previdência Social;272;Previdência do Regime Estatutário;3;3.1.90.11.00.00.00.00;VENCIMENTOS E VANTAGENS FIXAS-PESSOAL CIVIL;00040.00040.08.03.00.00.1.800.1111;REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL;20.000,00
CAIXA DE PREVIDENCIA DOS SERVIDORES DE INAJA;20.001;PRVIDENCIA SOCIAL;2.021;PREVIDENCIA SOCIAL AOS SERVIDORES;3;ASSISTÊNCIA PREVIDENCIARIA;9;Previdência Social;272;Previdência do Regime Estatutário;4;3.3.90.30.00.00.00.00;MATERIAL DE CONSUMO;00040.00040.08.03.00.00.1.800.1111;REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL;10.000,00
CAIXA DE PREVIDENCIA DOS SERVIDORES DE INAJA;20.001;PRVIDENCIA SOCIAL;2.021;PREVIDENCIA SOCIAL AOS SERVIDORES;3;ASSISTÊNCIA PREVIDENCIARIA;9;Previdência Social;272;Previdência do Regime Estatutário;5;3.3.90.35.00.00.00.00;SERVIÇOS DE CONSULTORIA;00040.00040.08.03.00.00.1.800.1111;REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL;20.000,00
CAIXA DE PREVIDENCIA DOS SERVIDORES DE INAJA;20.001;PRVIDENCIA SOCIAL;2.021;PREVIDENCIA SOCIAL AOS SERVIDORES;3;ASSISTÊNCIA PREVIDENCIARIA;9;Previdência Social;272;Previdência do Regime Estatutário;6;3.3.90.36.00.00.00.00;OUTROS SERVIÇOS DE TERCEIROS-PESSOA FÍSICA;00040.00040.08.03.00.00.1.800.1111;REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL;3.000,00
CAIXA DE PREVIDENCIA DOS SERVIDORES DE INAJA;20.001;PRVIDENCIA SOCIAL;2.021;PREVIDENCIA SOCIAL AOS SERVIDORES;3;ASSISTÊNCIA PREVIDENCIARIA;9;Previdência Social;272;Previdência do Regime Estatutário;7;3.3.90.39.00.00.00.00;OUTROS SERVIÇOS DE TERCEIROS-PESSOA JURÍDICA;00001.00000.01.01.00.00.1.500.0000;RECURSOS DO TESOURO (DESCENTRALIZADOS);67.291,36
CAIXA DE PREVIDENCIA DOS SERVIDORES DE INAJA;20.001;PRVIDENCIA SOCIAL;2.021;PREVIDENCIA SOCIAL AOS SERVIDORES;3;ASSISTÊNCIA PREVIDENCIARIA;9;Previdência Social;272;Previdência do Regime Estatutário;8;4.4.90.52.00.00.00.00;EQUIPAMENTOS E MATERIAL PERMANENTE;00040.00040.08.03.00.00.1.800.1111;REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL;5.000,00
CAIXA DE PREVIDENCIA DOS SERVIDORES DE INAJA;20.001;PRVIDENCIA SOCIAL;2.021;PREVIDENCIA SOCIAL AOS SERVIDORES;3;ASSISTÊNCIA PREVIDENCIARIA;9;Previdência Social;272;Previdência do Regime Estatutário;9;9.9.99.99.99.00.00.00;RESERVA DE CONTINGÊNCIA/RESERVA DO RPPS;00040.00040.08.03.00.00.1.800.1111;REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL;2.805.000,00
