Código Fonte,Origem,Aplicação,Desdobramento,Detalhamento,Descrição da Fonte,Código STN,Descrição STN
001,01,07,00,00,Recursos do Tesouro (Descentralizados),501,Outros Recursos não Vinculados
040,08,03,00,00,Regime Próprio de Previdência Social,800,Recursos Vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)
068,01,99,00,00,Fundo Especial da Câmara Municipal,759,Recursos Vinculados a Fundos
069,01,99,00,00,Receitas Intraorçamentárias P869/05STN,501,Outros Recursos não Vinculados
075,10,01,00,00,Operações de Crédito por Antecipação da Receita Orçamentária – ARO,869,Outros Recursos Extraorçamentários
075,10,02,00,00,Operações de Crédito por Antecipação da Receita Orçamentária – ARO,869,Outros Recursos Extraorçamentários
075,10,99,00,00,Operações de Crédito por Antecipação da Receita Orçamentária – ARO,869,Outros Recursos Extraorçamentários
094,94,99,00,00,Retenções em Caráter Consignatório,869,Outros Recursos Extraorçamentários
100,08,03,00,00,Recursos Vinculados ao RPPS - Taxa de Administração,802,Recursos Vinculados ao RPPS - Taxa de Administração
101,02,01,00,00,Fundeb 60% / Fundeb mínimo 70% - inciso XI do art. 212-A da CF,540,Transferências do FUNDEB - Impostos e Transferências de Impostos
102,02,01,00,00,Fundeb 40% / Fundeb máximo 30% - inciso XI do art. 212-A da CF,540,Transferências do FUNDEB - Impostos e Transferências de Impostos
103,01,01,00,00,5% Sobre Transferências Constitucionais FUNDEB,500,Recursos não Vinculados de Impostos
104,01,01,00,00,Demais impostos vinculados à educação básica (25%),500,Recursos não Vinculados de Impostos
105,04,01,00,00,Alienação de Ativos da Educação/Indenização de Sinistros,755,Recursos de Alienação de Bens/Ativos - Administração Direta
107,99,01,00,00,Salário Educação,550,Transferência do Salário-Educação
303,01,02,00,00,Saúde - Receitas Vinculadas (EC 29/00 - 15%),500,Recursos não Vinculados de Impostos
304,04,02,00,00,Receitas de alienação de Ativos da Saúde/Indenização de Sinistros,755,Recursos de Alienação de Bens/Ativos - Administração Direta
369,09,02,05,20,Serviços Prestados SUS / Faturamentos AIHs (Estadual),621,Transferências Fundo a Fundo de Recursos do SUS - Governo Estadual
369,09,02,06,20,Serviços Prestados SUS / Faturamentos AIHs (Federal),600,Transferências Fundo a Fundo de Recursos do SUS - Governo Federal - Bloco de Manutenção
369,09,02,07,20,Serviços Prestados SUS / Faturamentos AIH (Outros),659,Outros Recursos Vinculados à Saúde
494,09,02,05,20,Bloco de Custeio das Ações e Serviços Públicos de Saúde (Estadual),621,Transferências Fundo a Fundo de Recursos do SUS - Governo Estadual
494,09,02,06,20,Bloco de Custeio das Ações e Serviços Públicos de Saúde (Federal),600,Transferências Fundo a Fundo de Recursos do SUS - Governo Federal - Bloco de Manutenção
495,09,02,05,20,Atenção Básica (Estadual),621,Transferências Fundo a Fundo de Recursos do SUS - Governo Estadual
495,09,02,06,20,Atenção Básica (Federal),600,Transferências Fundo a Fundo de Recursos do SUS - Governo Federal - Bloco de Manutenção
495,09,02,07,20,Atenção Básica (Outros),659,Outros Recursos Vinculados à Saúde
496,09,02,05,20,Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar (Estadual),621,Transferências Fundo a Fundo de Recursos do SUS - Governo Estadual
496,09,02,06,20,Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar (Federal),600,Transferências Fundo a Fundo de Recursos do SUS - Governo Federal - Bloco de Manutenção
496,09,02,07,20,Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar (Outros),659,Outros Recursos Vinculados à Saúde
497,09,02,05,20,Vigilância em Saúde (Estadual),621,Transferências Fundo a Fundo de Recursos do SUS - Governo Estadual
497,09,02,06,20,Vigilância em Saúde (Federal),600,Transferências Fundo a Fundo de Recursos do SUS - Governo Federal - Bloco de Manutenção
497,09,02,07,20,Vigilância em Saúde (Outros),659,Outros Recursos Vinculados à Saúde
498,09,02,05,20,Assistência Farmacêutica (Estadual),621,Transferências Fundo a Fundo de Recursos do SUS - Governo Estadual
498,09,02,06,20,Assistência Farmacêutica (Federal),600,Transferências Fundo a Fundo de Recursos do SUS - Governo Federal - Bloco de Manutenção
498,09,02,07,20,Assistência Farmacêutica (Outros),659,Outros Recursos Vinculados à Saúde
499,09,02,05,20,Gestão do SUS (Estadual),621,Transferências Fundo a Fundo de Recursos do SUS - Governo Estadual
499,09,02,06,20,Gestão do SUS (Federal),600,Transferências Fundo a Fundo de Recursos do SUS - Governo Federal - Bloco de Manutenção
499,09,02,07,20,Gestão do SUS (Outros),659,Outros Recursos Vinculados à Saúde
500,09,02,05,20,Bloco de Investimentos na Rede de Serviços de Saúde (Estadual),621,Transferências Fundo a Fundo de Recursos do SUS - Governo Estadual
500,09,02,06,20,Bloco de Investimentos na Rede de Serviços de Saúde (Federal),601,Transferências Fundo a Fundo do SUS - Governo Federal - Bloco de Estruturação
500,09,02,07,20,Bloco de Investimentos na Rede de Serviços de Saúde (Outros),659,Outros Recursos Vinculados à Saúde
501,04,99,00,00,Receitas de Alienações de Ativos,755,Recursos de Alienação de Bens/Ativos - Administração Direta
